,No,Comment,Class
435,436,i love this song so much!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!﻿,0
899,900,check men out i put allot of effort into my music but unfortunatly not many  watch it﻿,1
88,89,Shakira I love you,0
1237,1238,my favorite song﻿,0
390,391,I'm here to check the views.. holy shit﻿,0
1108,1109,"And after the video ends, a 13 ft. boa constrictor squeezes her to death.﻿",0
526,527,follower please https://www.facebook.com/lists/161620527267482﻿,1
715,716,2011- the last year of decent music.﻿,0
665,666,Thank you KatyPerryVevo for your instagram likes @axeljonssons﻿,1
290,291,He gets more views but has less subscribers lol,1
285,286,Check Out The New Hot Video By Dante B Called Riled Up,1
1063,1064,"Look at the pictures, if not difficult http://image2you.ru/48051/1340524/        http://image2you.ru/48051/1340523/          http://image2you.ru/48051/1340522/ http://image2you.ru/48051/1340521/             http://image2you.ru/48051/1340520/       http://image2you.ru/48051/1340519/  http://image2you.ru/48051/1340518/            http://image2you.ru/48051/1340517/          http://image2you.ru/48051/1340504/ http://image2you.ru/48051/1340503/              http://image2you.ru/48051/1340502/            http://image2you.ru/48051/1340500/ http://image2you.ru/48051/1340499/        http://image2you.ru/48051/1340494/             http://image2you.ru/48051/1340493/ http://image2you.ru/48051/1340492/        http://image2you.ru/48051/1340491/           http://image2you.ru/48051/1340490/ http://image2you.ru/48051/1340489/             http://image2you.ru/48051/1340488/﻿",1
1231,1232,"when i see this back in 2015 i ask myself how people got to like this song. seems like Gangnam style copied this style though, might just be me but yea﻿",0
1085,1086,"Hey, it&#39;s Charlie from Lost﻿",0
266,267,/watch?v=aImbWbfQbzg watch and subscrible,1
327,328,:D subscribe to me for daily vines,1
339,340,who is going to reach the billion first : katy or taylor ?﻿,0
59,60,I love it,0
931,932,Thumbs up if shrek is gay 👍﻿,1
1227,1228,"Hey guys!  Can you please SUBSCRIBE to my channel,because I'm gonna filming a video so  hope you guys like it and thank you so much for you're support! Xoxo,Leah!  &lt;3 ﻿",1
1278,1279,tension⤴︎⤴︎﻿,0
818,819,2015 LIKEEE﻿,0
765,766,Hey Guys Jaylan Here And I Just Wanted Everybody To Know if Yall Can Subscribe Please That Would Be Great! This Is My New Gaming Channel (Have Not Uploaded Yet)But I Will Upload If I Hit About 10 Subs Thank You :D﻿,1
409,410,Subscribe to My CHANNEL﻿,1
333,334,"Hey, check out my new website!! This site is about kids stuff. kidsmediausa  . com",1
579,580,I shuffled while listening to this song. THE ILLNESS IS SPREADING!!﻿,0
839,840,i like the lyrics but not to music video﻿,0
545,546,2015!! LLIKEE!!﻿,0
886,887,"We get it, you came here for the views... ﻿",0
1190,1191,http://www.mediafire.com/download/yvovhafsv5qzzqo/Video.rar    download and  make money today ﻿,1
1206,1207,I love it﻿,0
720,721,Charlie from Lost!﻿,0
764,765,just checking the views﻿,0
461,462,What is he saying?!?!?!?!?!?!?!?$? ﻿,0
328,329,Also check out D.j.j where do i go now and road to recovery,1
433,434,Check out my Music Videos! and PLEASE SUBSCRIBE!!!! Fuego - U LA LA Remix  hyperurl.co/k6a5xt﻿,1
1078,1079,this video has 800+m views<br />and the channel got 3m subscribers﻿,1
983,984,2008-2010 were the years for pop﻿,0
83,84,"Hello everyone :) I know most of you probably pass up these kind of comments, but for those who are still reading this, thanks! I don’t have any money for advertisements, no chance of getting heard, nothing... If this comes off as spam, sorry. I am a video animator, just trying to make it up into the video animation industry. Please give me the chance to prove myself to you. Please visit my channel, subscribe if you like and thumb this comment up, so everyone can see! Thank You! ",1
129,130,I always have goose bumps at that part,0
722,723,not 2 million view anymore :))﻿,0
1113,1114,HAPPY BIRTHDAY KATY :) http://giphy.com/gifs/birthday-flowers-happy-gw3JY2uqiaXKaQXS/fullscreen  (That´s not me)﻿,1
171,172,WOw,0
582,583,Nice﻿,0
260,261,SUBSCRIBE TO MY CHANNEL X PLEASE!. SPARE,1
622,623,"should not have paused the music, this is a clip, not a movie.﻿",0
636,637,Most viewed video on youtube...daaaaaaaaaaannng those views can almost  dominate the entire...china...﻿,0
1070,1071,Please share and help to my Friend! http://www.gofundme.com/jormis  Thank  you very much!﻿,1
1149,1150,"She kinda let herself go, huh?﻿",0
332,333,"Huh, anyway check out this you[tube] channel: kobyoshi02",1
355,356,Shakira - Waka Waka <br />LOVE THIS SONG!!!!!!!!!!!!!!!﻿,0
138,139,"Hey guys whats up? I found this app that lets you get free gift card vouchers like psn cards,X-box live cards and even amazon gift cards. For free! All you have to do is  simply just download the app from the app store. It is called juno wallet. All you have to do is just sign up for the app and then complete a few surveys or just download some other free apps and you get money like 10 cents. Also, if you type in the code IM2458444. You will also start off with $0.25 free!! ",1
292,293,"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM . You can make money online and start working from home today as I am! I am making over $3,000+ per month at MONEYGQ.COM ! Visit MONEYGQ.COM and check it out! Memory Ferirama Besloor Shame Eggmode Wazzasoft Sasaroo Reiltas Moderock Plifal Shorogyt Value Scale Qerrassa Qiameth Mogotrevo Hoppler Parede Yboiveth Drirathiel",1
1057,1058,Looooved ﻿,0
429,430,this song is NICE﻿,0
141,142,I want new song,0
1158,1159,Check out this video on YouTube:﻿,1
591,592,Ummm... I just hit 1k subscribers. I make Minecraft videos. Help me out by checking me out?﻿,1
762,763,http://www.bubblews.com/news/6401116-vps-solutions﻿,1
139,140,"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!  Why does the fragile swim enlist the person? How does the ice audit the frequent son? The fantastic chance describes the rate.",1
1226,1227,Justin bieber = gay ﻿,0
984,985,ROAAAAARRRRRR 🐯🐯🐯﻿,0
224,225,  Eminem is the king of rap  Micheal Jackson is the king of pop  If you also wanna go hard and wanna be the person of first class fame just check out Authenticviews*com and be famous just within days !! yO ~,1
453,454,"So,cool！！﻿",0
274,275,everyone come and check out the new GTA 5 Gameplay right Here : /watch?v=6_H0m5sAYho,1
323,324,COFFEE ! LOVERS ! PLEASE ! READ ! Check out a song I wrote and sing on You Tube called COFFEE LOVA.Type COFFEE LOVA like I spell it while your already on You Tube hit enter.Then look for video titled COFFEE LOVA hit enter and BLAST ! OFF !,1
1193,1194,this very good so I dance with some companions front of the whole school﻿,0
325,326,"This great Warning will happen soon. ,0
LneaDw26bFst76VHKJL8PxaEy6VMNlvmriUDTSFK6vY,Ali Paša,2013-09-26T22:28:17.047000,Croatia &lt;3,0
LneaDw26bFvkAHxpKEnM25FYWkyXthsUpri6JuQsZnU,G Belrus,2013-09-26T22:26:12.832000,Nice one,0
LneaDw26bFtvZQt6JUEhasIEFRJG1exI_dVqdnQVPho,exode. comeback.,2013-09-26T22:23:00.710000,600m views.,0
LneaDw26bFunOarAg71AwGU6TJO6aZDKFIUn_TZ1_HY,Muhammad Shaeel Abbas,2013-09-26T22:15:45.476000,Fuck off!,0
LneaDw26bFt-oToUFj0z3vffLFNaxyKwZSIVQhiMx-E,Notorious Niko,2013-09-26T22:00:43.613000,""Hey guys im a 17yr old rapper trying to get exposure... I live in belgium where NO ONE speaks english so i have to resort to this gay SPAM...  Check out my 2 latest tracks as they are probably my best.. Audio isnt the best but im gonna invest in some real equipment for my next track..  Please Thumbs this up so others can see.. or hey dont just check me out yourself and leave a response and a like :D  Thanks in advance, you guys will be part of making my dream come TRUE   -Notorious Niko ",1
551,552,Katy Perry - Roar (Official): http://youtu.be/CevxZvSJLk8﻿,0
597,598,Thumbs up if FE-FE-FE-FE-FEGELEIN brought u here﻿,1
668,669,"Dumb Guy: Why is there 2 billion views when there are 7 million people on  earth??? Also, I know what 1+1 equals! 1+1=1! I am a smartie pants﻿",0
845,846,5 years soon!﻿,0
966,967,I heard this when I was only 6 years old and I still love it﻿,0
934,935,http://hackfbaccountlive.com/?ref=4436607  psy news offıcal ﻿,1
718,719,love this song﻿,0
777,778,Show your AUBURN PRIDE HERE: http://www.teespring.com/tigermeathoodie﻿,1
1049,1050,Katy Perry - Roar (Official): http://youtu.be/CevxZvSJLk8﻿,0
438,439,"If the shitty Chinese Government didn't block YouTube over there, there'd  be close to 3 billion views right now. ﻿",0
578,579,Check out this video on YouTube:﻿,1
671,672,hi everyone this is cool check out sexy and i know it﻿,1
1005,1006,http://shhort.com/a?r=HuPwEH5ab﻿,1
812,813,Ching Ching ling long ding ring yaaaaaa Ganga sty FUCK YOU.﻿,0
746,747,Love﻿,0
793,794,Party rock﻿,0
321,322,"CHECK OUT THIS NEW VIDEO I MADE CALLED &quot;WE LOVE MIND MASTER IT&quot;, THANK U SO MUCH ",1
432,433,Katy Perry is garbage. Rihanna is the best singer in the world. ﻿,0
739,740,Eminem THE BEST !﻿,0
986,987,This is so stupid. If you Roared at a Lion in real life you'd dede﻿,0
425,426,love﻿,0
39,40,"Believe that Jesus Christ is your savior for all your sins. If you truly believe in Jesus Christ to be your savior for all your sins then you will go to Heaven. If you believe in Jesus Christ then you are saved and you are in salvation and you have gained God’s righteousness. It matters not how much you have sinned in the past, in the present and especially in the future. Believe that Jesus Christ is your savior and you will go to Heaven forever and that is the whole truth. Spread the truth. ",1
30,31,"Hello everyone :) I know most of you probably pass up these kind of comments, but for those who are still reading this, thanks! I don’t have any money for advertisements, no chance of getting heard, nothing. I live in such a small town... If this comes off as spam, sorry. I’m an instrumental songwriter from Columbus, Mississippi. Please go to my channel and check out my original music. It would be highly appreciated if you thumbs up this comment so my music can be heard! Thank you, Adam Whitney ",1
242,243,"You guys should check out this EXTRAORDINARY website called ZONEPA.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at ZONEPA.COM !   Visit Zonepa.com and check it out!  Why does the answer rehabilitate the blushing limit? The push depreciateds the steel. How does the beautiful selection edit the range?",1
680,681,WAT DA FUCK THIS THE MOST VIEWED VIDEO IN YOUTUBE!﻿,0
889,890,Very nice,0
136,137,"Hey, I am doing the Forty Hour famine so I&#39;ll be giving up on food and social working for 40 hours. I&#39;m doing this to raise money for African people who can&#39;t experience the luxuries that we can. So can you donate to give them a chance?  Any amount would do :)  Click on the link and donate h t t p : / / 4 0 h f . c o m . a u / A n t h o n y L a m Thanks :)",1
310,311,SubScribe me pls EMİNEM FANS,1
1084,1085,https://viralangels.com/user/d4aaacwk﻿,1
996,997,Cool﻿,0
924,925,music yeah﻿,0
1148,1149,Is that Charlie from lost?﻿,0
1290,1291,I love the way you lie﻿,0
1120,1121,Check out this video on YouTube:﻿,1
3,4,well done shakira,0
111,112,hey you ! check out the channel of Alvar Lake !!,1
701,702,Follow me on Twitter @mscalifornia95﻿,1
1121,1122,Nice song .See my new track.﻿,1
1069,1070,I    loved        it           so       much          because         you          get         to         stand            fear .﻿,0
1013,1014,YAY IM THE 11TH COMMENTER!!!!!                                    IF YOUR  CRAZY PLEASE DONATE BITCOINS TO ME AT: 1FHeNqx1twqM153v2PTAyieJNEALAhZvEM﻿,1
868,869,you cant stop the shuffle﻿,0
376,377,If i reach 100 subscribers i will tazz my self and my friend﻿,1
1048,1049,great l subscribe﻿,1
485,486,"Every time I hear this song, I think about Iniesta&#39;s goal against the Netherlands...﻿",0
314,315,hey guys look im aware im spamming and it pisses people off but please take a moment to check out my music.  im a young rapper and i love to do it and i just wanna share my music with more people  just click my picture and then see if you like my stuff,1
1052,1053,I always end up coming back to this song<br />﻿,0
319,320,"Hey guys im a 17yr old rapper trying to get exposure... I live in belgium where NO ONE speaks english so i have to resort to this gay SPAM...  Check out my 2 latest tracks as they are probably my best.. Audio isnt the best but im gonna invest in some real equipment for my next track..  Please Thumbs this up so others can see.. or hey dont just check me out yourself and leave a response and a like :D  Thanks in advance, you guys will be part of making my dream come TRUE   -Notorious Niko ",1
1285,1286,Gusttavo Lima Você não me conhece <br />Check out﻿,1
820,821,Please check out my vidios guys﻿,1
5,6,"Part 2. Holy Mary, pray for us Holy Mother of God, pray for us Holy Virgin of virgins, pray for us Mother of Christ, pray for us Mother of divine grace, pray for us Mother most pure, pray for us Mother most chaste, pray for us Mother inviolate, pray for us Mother undefiled, pray for us Mother most amiable, pray for us Mother most admirable, pray for us Mother of good counsel, pray for us Mother of our Creator, pray for us Mother of our Redeemer, pray for us ",1
100,101,"Subscribe me, I will? subscribe you back!!!",1
424,425,SUP GUS THIS IS A VIDEO FOR PEOPLE WHO LOVES PARTY ROCK SO THANKS FOR WATCHING AND PLEASE SUBSCRIBE:)!!﻿,1
1172,1173,The Perry you're doing a good job good job I love all of their videos and  by the way can you please describe to my channel please please please  please I'm trying to get as many comments to Skyburst lights is a cancer  and get famous please﻿,1
596,597,get GWAR to play 2015 superbowl  http://www.change.org/petitions/the-national-football-league-allow-gwar-to-perform-the-2015-super-bowl-halftime-show#share ﻿,1
964,965,Best. Song. EVER 🙌﻿,0
838,839,Im just to check how much views it has﻿,0
423,424,"Hello! I'm kind of new to Youtube, And soon i'm soon going to be making  Launchpad Video's! :D I would really appreciate if i got some subs before i  started so that people can spot me easily! I dont really care about hate  comments so dont bother -_-﻿",1
949,950,https://binbox.io/DNCkM#qT4Q1JB1﻿,1
1141,1142,Also LuckyMusiqLive she probably could help u make it big because I think u  have talent. Just look her name up on the internet. Hit me up when u get  this message﻿,1
1081,1082,Whose watching this in 2015. If so hi-5﻿,0
589,590,SHAKIRA SONG WAKA WAKA﻿,0
227,228,Check Out The New Hot Video By Dante B Called Riled Up,1
477,478,Wow I love it ﻿,0
615,616, GO TO MY CHANNEL and check out my written songs﻿,1
744,745,Please subscribe to us and thank you﻿,1
522,523,2015 and more....﻿,0
66,67, subscribe to my feed,1
1155,1156,subscribe to my chanell﻿,1
67,68,Waka Waka!:D   Check out my new HALLOWEEN VIDEO!:),1
1207,1208,The best FIFA world cup song for sure.﻿,0
211,212,CHECK OUT Eminem - Rap God LYRIC VIDEO,1
12,13,She is good,0
1251,1252,Check out my YouTube channel I can rap﻿,1
752,753,Check out this playlist on YouTube:﻿,1
299,300,Check Out The New Hot Video By Dante B Called Riled Up,1
554,555,Check out this video on YouTube:﻿,1
898,899,hey again if you guys wouldnt mind chacking out my rap give it like and il  giver 3 of your vids a like﻿,1
1167,1168,1 millioon dislikesssssssssssssssssssssssssssssssss.............﻿,0
778,779,"<a href=""http://www.gofundme.com/Helpmypitbull"">http://www.gofundme.com/Helpmypitbull</a> Can you please donate to help my pitbull PLEASE!!! I just need 50 dollars to take it to the vet!!!﻿",1
1170,1171,My uncle said he will stop smoking if this comment gets 500 likes! Please like this comment! Thanks.﻿,1
693,694,Almost to a billion :)﻿,0
1233,1234,"The most watched video on YouTube is Psy’s “Gangnam Style”, with 2.1  billion views. PSY - GANGNAM STYLE (강남스타일) M/V﻿",0
490,491,Check the shit out on my channel<br /><br /><br />SUBSCRIBE YOU WILL LIKE IT﻿,1
618,619,"Rihana, Love Me. :(﻿",0
1156,1157,2 Billion Views For This Piece Of Shit... ~ A R E ~ Y O U ~ K I D D I N G ~ M E ~﻿,0
1214,1215,How could 108k people dislike this song or video﻿,0
1159,1160,SUBSCRIBE MY CHANNEL PLEASE LOL PRO PLAYS)﻿,1
788,789,Subscribe to me and I'll subscribe back!!!﻿,1
1124,1125,so cute that monkey *-*! ﻿,0
273,274,"Please check out my youtube channel! Just uploaded my first youtube video please check it out, you will not regret it!",1
513,514,WHY DOES THIS HAVE 2 BILLION VIEWS THIS SONG IS SO ANNOYING﻿,0
362,363,she is horrible at acting. cringe-worhty.﻿,0
237,238,"EVERYONE GO AND SHARE youtu  be/ARkglzjQuP0 ON FB,TWITTER,G+ TO VOTE FOR EMINEM TO BECOME ARTIST OF THE YEAR ON FIRST EVER YOUTUBE MUSIC AWARDS !!!  AND GET THIS METHOD TO CHEAT AT INTERNET ROULETTE OUT OF EMINEMS VIDEO ! SHADY ARTIST OF THE YEAR !",1
1191,1192,Love you shkira﻿,0
930,931,Sick Music for sick females﻿,0
2,3,HI! CHECK OUT OUR AWESOME COVERS! AND SAY WHAT YOU THINK!,1
6,7," I really can&#39;t comprehend Miley Cyrus , she actually is a high profile and she tapes herself banging Today a video was leeched with her sucking and fucking The video has been posted at the celebrity website under :  miley-celeb-news.co.uk ",1
370,371,http://tankionline.com#friend=cd92db3f4 great game check it out!﻿,1
311,312,Fruits and vegetables give you longer lasting energy for weight loss.  Check out youtube.com/user/36loseweight.,1
1116,1117,most viewed video in the world﻿,0
806,807,Check out this video on YouTube:hjalp﻿,1
581,582,"HAHAA THIS DANCE IS TIGHTTTT<br /><br />I know y&#39;all &quot;…ain&#39;t got time for MY demo man&quot;  but check out some of my stuff<br /><br />Slappers on slappers on bangers! Click that link below to peep game! ENJOY. <br /><br /><a href=""https://soundcloud.com/rocc-steady/wave-emoji-prod-by-nippylongbottom-cyber-punk"">https://soundcloud.com/rocc-steady/wave-emoji-prod-by-nippylongbottom-cyber-punk</a>﻿",1
710,711,Check out this video on YouTube:﻿,1
1009,1010,Check out this video on YouTube:﻿,1
215,216,Check out my channel please.,1
535,536,How stupid humanity is﻿,0
712,713,https://www.facebook.com/myfunnyriddles﻿,1
27,28,SUBSCRIBE ME AND I REQUITE,1
873,874,Check out this video on YouTube:﻿,1
1253,1254,"We are an EDM apparel company dedicated to bringing you music inspired  designs. Our clothing is perfect for any rave or music festival. We have  NEON crop tops, tank tops, t-shirts, v-necks and accessories! follow us on  Facebook or on instagraml for free giveaways news and more!! visit our site  at OnCueApparel﻿",1
514,515,i love this song thumsb up to you﻿,0
523,524,LMFAO IS THE BEST﻿,0
914,915,SEE SOME MORE SONG OPEN GOOGLE AND TYPE Shakira GuruOfMovie﻿,1
947,948,Lol thats the guy from animal planet and lost. And the girl is megan fox i think hahah ﻿,0
570,571,"She is good. Does she make any more music? If she doesn't, she should!﻿",0
857,858,Free itunes $25 giftcard codes: http://shhort.com/a?r=OOCnjqU2b﻿,1
1271,1272,Come and watch my video it is called the odowd crowd zombie movie part 1 ﻿,1
354,355,when is this gonna hit 2 billion?﻿,0
1138,1139,Like﻿,0
1142,1143,Please help me go here http://www.gofundme.com/littlebrother﻿,1
256,257,"Hey? Everyone Please take a moment to read this. I work my ass off hoping to make it into the music industry but its hard to? get people to hear you when you don’t have money for advertisements and exposure I am a Young Artist who has dreams and goals like everybody else Please take 30 seconds and visit my channel You don’t have to like? me, just give me a chance to prove my talent Also, please take just 1 second of your life and Thumb this comment up it would be Super Helpful.",1
291,292,CHECK OUT THIS DOPE CHANNEL!    phenomenallyricshere CHECK OUT THIS DOPE CHANNEL!    phenomenallyricshere CHECK OUT THIS DOPE CHANNEL!    phenomenallyricshere CHECK OUT THIS DOPE CHANNEL!    phenomenallyricshere CHECK OUT THIS DOPE CHANNEL!    phenomenallyricshere CHECK OUT THIS DOPE CHANNEL!    phenomenallyricshere CHECK OUT THIS DOPE CHANNEL!    phenomenallyricshere CHECK OUT THIS DOPE CHANNEL!    phenomenallyricshere CHECK OUT THIS DOPE CHANNEL!    phenomenallyricshere,1
25,26,wow,0
336,337,2 Billions in 2014,0
529,530,DISLIKE.. Now one knows REAL music - ex. Enimen ﻿,0
47,48,CHECK OUT THE DUBSTEP VERSION,1
318,319,share and like this page to win a hand signed Rihanna photo!!! fb -  Fans of Rihanna,1
106,107,"Hey, hit this shit up while yall can, they killed the versace remix. Just type in CGE &quot;Versace Freestyle (Get Money)&quot; Shot by Ja-Wan Gardner and help them reach 1 million views.",1
939,940,likeeeeeeeee﻿,0
55,56,check out my new video,1
613,614,"""....because I AM a champion...and you're gonna hear me roar!""   Today I AM my own champion  Today I AM a champion for the Creator  Today I AM doing positive in my world Today I AM blessing and healing all around me Today I AM successful and  creating success  ﻿",0
213,214,Go check out eminem survival.,1
120,121,best song eva,0
855,856,CHECK MY CHANNEL FOR MY NEW SONG 'STATIC'!! YOU'LL LOVE IT!!﻿,1
558,559,Check out this video on YouTube﻿,1
72,73,"Hey Music Fans I really appreciate all of you who take time to read this, and check my music out! I&#39;m just a 15 year old boy DREAMING of being a successful MUSICIAN in the music world. I do lots of covers, and piano covers. But I dont have money to advertise. A simple thumbs up to my comment, a comment on my videos or a SUBSCRIPTION would be a step forward! It will only be a few seconds of your life that u won&#39;t regret!!! Thank u to all the people who just give me a chance it means a lot! :)",1
807,808,I lovet﻿,0
45,46,She is perfect! &lt,0
993,994,"Just coming to check if people are still viewing this video. And  apparently, they still do.﻿",0
707,708,Check out this video on YouTube:﻿,1
651,652,subscribe﻿,1
922,923,Why does a song like this have more views than Michael Jackson SMH﻿,0
465,466,What nicei⛺♥♥♥♥﻿,0
946,947,I love this song so much﻿,0
1111,1112,Party Rock<br />﻿,0
590,591,hi guys check my youtube channel﻿,1
60,61,She is perfect,0
92,93,"Hey guys and girls check out Comedy Recipe for hilarious you tube videos, pranks, and crank calls!",1
532,533,Check out this video on YouTu﻿,1
194,195,if eminem gets 1 penny per view he would have 600 million dollars,1
280,281,"I know that maybe no one will read this but PLEASE TYPE IN &quot;deazy99&quot; I&#39;m a rapper with a dream. I know you must see like millions of those on here everyday but please check out my music and subscribe if you&#39;d like thank you, i would love nothing more than to have a decent following on youtube from people if anyone reading this could give it a &quot;THUMBS UP&quot; because what some might see as just a simple button press could make my dream come true..thank you again for your time &amp; may god bless you",1
359,360,I made a gaming channel (Unique right?) :L Angry Minecraft!﻿,1
519,520,What my gangnam style﻿,0
617,618,Lol check out my chanell and subscribe please i want 5000 subs thats it im nearly their now﻿,1
584,585,There are beautiful songs please subscribe﻿,1
182,183,check out you tube keithlinscotts one word keithlinscotts you tube .com,1
110,111,Wats Good Go Check Out My Music On Da Channel Ik Yall Got me,1
828,829,Lol this youtuber (officialpsy) is getting so much money lol﻿,0
743,744,I came here because of Vanoss.﻿,0
204,205,"YO GUYS SORRY IF THIS ANNOYS YOU!!! BUT CHECK OUT MY CHANNEL, AND LATEST VIDEO. A LIKE AND SUBSCRIBE WOULD BE NICE TOO!!!!!!!",1
1097,1098,me segue ha  https://www.facebook.com/marcos.sousa4?fref=ts﻿,1
948,949,Check out this video on YouTube:﻿,1
755,756,....I stil lisening this :)﻿,0
798,799,Way was their a guy warring a robot head.﻿,0
1157,1158,i am from Brazil please subscribe my channel love you all﻿,1
572,573,Like eminen﻿,0
183,184,adam b beats check out my page,1
137,138,god she is so sexy! drives me crazy!,0
737,738,Help Please!!  http://www.gofundme.com/RJanimalcare﻿,1
80,81,I love you,0
1195,1196,We can have a party next share﻿,1
541,542,best song﻿,0
